総数,1478084,896853,581231
東海道本線,497133,280287,216846
東淀川,8129,4947,3182
新大阪,46855,27798,19057
大阪,425010,236289,188721
塚本,17139,11253,5886
大阪環状線,569900,355620,214280
福島,24092,14264,9828
野田,12021,7587,4434
西九条,23985,15195,8790
弁天町,34298,22229,12069
大正,23061,14705,8356
芦原橋,6405,4433,1972
新今宮,66881,43559,23322
寺田町,16529,9921,6608
桃谷,17806,11254,6552
鶴橋,111308,71581,39727
玉造,16738,11812,4926
森ノ宮,27826,17253,10573
大阪城公園,12378,5745,6633
京橋,135856,83795,52061
桜ノ宮,17893,11101,6792
天満,22823,11186,11637
桜島線,35446,19110,16336
安治川口,11843,9907,1936
ﾕﾆﾊﾞｰｻﾙｼﾃｨ,16272,3975,12297
桜島,7331,5228,2103
片町線,23296,15916,7380
鴫野,8711,5823,2888
放出,14585,10093,4492
関西本線,203421,124254,79167
ＪＲ難波,27963,16840,11123
今宮,4137,2576,1561
天王寺,142268,85049,57219
東部市場前,7045,4865,2180
平野,11605,7480,4125
加美,10403,7444,2959
阪和線,34774,23812,10962
美章園,4762,3313,1449
南田辺,4523,2942,1581
鶴ケ丘,4930,3179,1751
長居,5363,3303,2060
我孫子町,6183,4051,2132
杉本町,9013,7024,1989
東西線,114114,77854,36260
大阪城北詰,4294,2618,1676
大阪天満宮,23228,15815,7413
北新地,49407,33638,15769
新福島,8461,5609,2852
海老江,10450,7069,3381
御幣島,10870,7810,3060
加島,7404,5295,2109
